OBJECTID,MONTH_YEAR,PERCENT_MEN,PERCENT_WOMEN,PERCENT_FAMILIES,PERCENT_YOUTH,PERCENT_EMERGENCY
1,2020/01/31 05:00:00+00,1.14,1.04,0.93,0.68,
2,2020/02/28 05:00:00+00,1.11,1.02,0.91,0.6,
3,2020/03/31 05:00:00+00,1.08,0.82,0.97,0.52,
4,2020/04/30 05:00:00+00,1.39,0.87,0.95,0.7,0.44
5,2020/05/31 05:00:00+00,1.14,0.8,0.64,0.46,0.5
6,2020/06/30 05:00:00+00,1.07,0.78,1,0.51,0.34
7,2020/07/31 05:00:00+00,0.91,0.78,1,0.42,0.31
8,2020/08/31 05:00:00+00,0.9,0.85,1,0.29,0.33
9,2020/09/30 05:00:00+00,0.9,0.9,0.79,0.36,0.39
10,2020/10/31 05:00:00+00,0.79,0.72,0.85,0.51,0.72
11,2020/11/30 05:00:00+00,0.92,0.99,0.95,0.49,0.72
12,2020/12/31 05:00:00+00,0.96,1.1,0.92,0.46,0.62
13,2021/01/31 05:00:00+00,0.91,0.96,0.86,0.32,0.52
14,2021/02/28 05:00:00+00,0.99,0.97,0.9,0.45,0.6
15,2021/03/31 05:00:00+00,0.93,1.03,0.85,0.59,0.67
16,2021/04/30 05:00:00+00,0.88,0.99,0.87,0.66,0.54
17,2021/05/31 05:00:00+00,0.81,1.02,0.78,0.44,0.46
18,2021/06/30 05:00:00+00,0.79,1.05,0.86,0.4,0.47
19,2021/07/31 05:00:00+00,0.85,1.03,0.88,0.49,0.58
20,2021/08/31 05:00:00+00,0.81,1.04,1,0.63,0.73
21,2021/09/30 05:00:00+00,0.81,1.08,1.14,0.61,0.74
22,2021/10/31 05:00:00+00,0.88,1.05,1.01,0.74,0.79
23,2021/11/30 05:00:00+00,0.96,0.99,0.98,0.84,0.87
24,2021/12/31 05:00:00+00,1,1.01,0.92,0.72,1.05
25,2022/01/31 05:00:00+00,0.96,0.96,0.93,0.45,1.02
26,2022/02/28 05:00:00+00,0.95,0.97,0.85,0.38,1
27,2022/03/31 05:00:00+00,0.98,0.8,1.01,0.48,1.07
28,2022/04/30 05:00:00+00,1,0.9,1.03,0.58,0.95
29,2022/05/31 05:00:00+00,0.97,0.88,1,0.47,0.97
30,2022/06/30 05:00:00+00,0.99,0.9,1.04,0.43,0.8
31,2022/07/31 05:00:00+00,0.97,0.93,0.99,0.58,0.75
32,2022/08/30 05:00:00+00,0.94,0.97,1.03,0.61,0.72
33,2022/09/30 05:00:00+00,0.96,0.97,1.03,0.57,0.6
34,2022/10/31 05:00:00+00,1.02,1,1.01,0.76,0.85
35,2022/11/30 05:00:00+00,1.02,0.98,1.04,0.82,0.68
36,2022/12/31 05:00:00+00,1.06,0.92,1.03,0.71,0.6
37,2023/01/31 05:00:00+00,1.08,0.9,1.05,0.55,0.84
38,2023/02/28 05:00:00+00,1.09,0.91,1.04,0.75,0.77
39,2023/03/31 05:00:00+00,1.11,0.93,1.04,0.67,0.71
40,2023/04/30 05:00:00+00,1.07,0.97,1.03,0.56,0.85
41,2023/05/31 05:00:00+00,1.04,0.96,1.01,0.69,0.94
42,2023/06/30 05:00:00+00,1.05,0.93,1.02,0.81,0.93
43,2023/07/31 05:00:00+00,1.07,0.93,1.03,0.67,0.97
44,2023/08/31 05:00:00+00,1.1,0.98,1.02,0.63,0.93
45,2023/09/30 05:00:00+00,1.1,0.99,1.03,0.77,0.94
46,2023/10/31 05:00:00+00,1.1,0.99,1.02,0.75,0.91
47,2023/11/30 05:00:00+00,1.1,1.1,1.02,0.63,0.9
48,2023/12/31 05:00:00+00,1.11,0.98,1.03,0.63,0.88
49,2024/01/31 05:00:00+00,1.13,0.97,1.01,0.63,0.86